品名,單位,重量,熱量
紅燒牛肉燴飯,,390克,487.5
紅燒牛肉麵,,643克,643
香橙水果餡餅,,100克,445
紅燒牛腩,,57克,79.8
紅燒冬瓜,,241.2克,29.2
紅燒冬瓜塊,,50克,17
紅燒平魚,,524克,802
香蕉可爾必思蘇打,,240.1克,134.5
紅燒肉?蛋,,1215克,3485
紅燒羊肉,,146.5克,103.3
茄燒百頁,,72.5克,94.2
紅燒百頁豆腐,,70克,117.3
紅燒肉醬蛋,,705克,2674
紅龍果,,100克,50
香蕉奇異果牛奶,,470克,267
紅燒青椒,,95克,72
香蕉油糖水,,400克,1219.9
紅燒茄子,,75克,50
柳橙庫力,,130克,76.7
柳橙原汁,,248克,110
紅燒馬鈴薯牛腩,,61.7克,121.1
紅燒烤麩,,57克,91.2
胖頭魚,,100克,100
胖頭魚[擺佳魚，花鰱魚],,100克,100
紅燒魚片,,308克,105.6
苦蕎麥片,,100克,411
紅燒排骨,,61克,136.1
苦蕎麥粉,,100克,304
紅燒排骨麵,,450克,814.5
紅燒帶魚,,35克,48.7
歪頭菜,,100克,63
歪頭菜[草豆，二葉萩],,100克,63
紅燒黃花魚,,624克,662
香蕉蜂王乳,,280克,218.4
香蕉鳳梨芭樂汁,,530克,328.1
紅燒豬尾,,595克,1488
紅燒墨魚,,50克,30.5
紅燒豬蹄,,525克,1413
紅燒鴨,,100克,338
香蕉鮮奶,,310克,183.8
香蕉優酪乳,,219.9克,219.9
紅燒雞翅,,75克,79
香蕉蘋果汁,,530克,397.5
香蕉櫻桃冰砂,,239.9克,184.8
紅燒鰻羹,,470克,517
柑橘罐頭,1個,,57.3
紅螺,,100克,119
洋薑,,100克,56
洋薑[菊芋，鬼子姜],,100克,56
洋薑[菊芋，鬼子薑],,100克,56
洋薑,,100克,34
洋薑,,100克,34
香糟毛豆,,652克,690
紅薯粉絲,,100克,335
炸薯條,,145克,330.4
砂鍋獅子頭,,425克,493.1
香糟塊肉,,100克,542
香薑煎蛋,,106克,181
香糟鳳爪,,685克,1338
降壓調脂健康早餐,,257克,349
苤藍,,100克,30
紅醬,,162克,356.4
苤藍[玉蔓菁，球莖甘藍],,100克,30
炸雞粉,1份,,33.1
炸雞翅,1雙,,280
炸雞排飯,,275克,550
炸醬涼麵,,450克,886
炸雞塊,,280克,638.2
炸雞腿,,50克,145
炸雞腿,1雙,,560
炸雞腿排,,95克,246.1
勁爆雞米花,,100克,302
星鰔,,1兩,31.8
洋蘑菇,,100克,27
紅鱒魚,,100克,99
胡蘿蔔丸子,,60克,97.8
胡蘿蔔牛肉煲,,770克,1226
胡蘿蔔汁飲料,,100克,24
胡蘿蔔炒青花椰,,160克,138.3
胡蘿蔔果凍,,438克,267.2
胡蘿蔔炒蛋,,140克,153
紅蘿蔔炒蛋,,80.7克,102
胡蘿蔔素王,,100克,130
紅蘿蔔茸湯,,100克,169
胡蘿蔔素飲料,1缶,,93.6
紅蘿蔔粥,,507.5克,822.2
胡蘿蔔滷牛肉,,133克,78.7
紅蘿蔔蕃茄汁,,740克,296
胡蘿蔔蘋果汁,,210克,117.2
胡蘿蔔纓,,100克,40
炸蠶豆,,100克,446
泰-法式紅咖哩鴨胸濃湯,,440克,180
桃：加州水蜜桃,1粒,,63
桃,,100克,48
桃,,100克,58
高力豆沙香蕉,,350克,360.4
桃山,,23.8克,96
栗子仁,,100克,174
高山白桃,,100克,40
烤小卷,,59.8克,76.6
起士披薩,,375克,1037.8
鬼子姜,,100克,34
貢丸胡瓜湯,,275克,69.8
栗子浮島,,348克,1002.3
起士海鮮千層麵,,340.1克,622.3
起士海鮮沙拉,,350克,234.5
起士蛋捲,,150克,448.4
貢丸湯,,134.3克,177.3
栗子酥,,46.9克,159
素大腸,,100克,153
起士餃子蔬菜湯,,301克,322.1
栗子饅頭,,64.4克,227.4
桃仁,,100克,429
馬心,,100克,104
馬牙大豆,,100克,321
烤牛小排,,145.7克,495.3
海木耳,,100克,119
烤牛肉,,72克,140
烤牛肉,,85克,165
烤牛肉,,85克,375
烤牛肉乾,1塊,,64
烤牛排,,87.5克,204.8
消化酵素果汁,,135克,81
素什錦,,100克,173
茭白,,100克,23
茭白[茭筍，茭粑],,100克,23
烤布丁,,113.5克,142.9
脆皮三角骨,,33克,115.2
馬奶子葡萄,,100克,40
起司貝果,1份,,300.8
原汁沙棘,,100克,48
脆皮豆腐,,85克,199.3
茭白炒肉絲,,449克,385
脆皮肥腸,,90.8克,136.9
脆皮炸起士,,174克,393.2
起司香腸,,54克,182.5
茭白胡蘿蔔,,316克,179
原汁烤全雞附煎烤馬鈴薯,,168克,323.3
時令時蔬,,528克,443
脆皮烤雞腿便當,,331克,542.9
草包魚,,100克,96
益母參竹茶,,64克,163.3
起司焗筍,,289.9克,223.3
起司蛋糕,1個,,338
脆皮絲瓜,,275克,221.6
馬加舅,,75.5克,170.2
脆生腸,,374克,531.1
脆皮腸,,100克,302
起司漢堡排飯,,135克,159.3
起司潛艇堡,,258克,518.1
起司雞肉捲,,140克,197.4
脆皮雞翅,,77.5克,235.6
馬肉,,100克,122
海米,,100克,198
馬肉,,100克,170
烤肉片,,80克,148.8
烤吐司,,50克,149.5
烤羊肉蔬菜串,,230克,165.8
泰式青木瓜絲,,50克,31.5
海米空心菜,,230克,134
貢米佳釀,,100克,79
泰式紅咖哩焗寬麵,,501克,851.8
烤羊排,,111.9克,195.5
泰式涼拌牛肉冬粉,,144克,378.7
泰式涼拌海鮮,,226克,189.8
泰式涼拌海鮮總匯,,170克,408
泰式煎豬排,,49.9克,122.9
泰式酸辣冬粉,,487克,418.8
泰式酸辣蝦,,55克,87.2
純米醋,1個,,2.4
素肉燥,1個,,95.8
素肉鬆,1份,,77
素肉羹,1份,,124
栗羊羹,,100克,301
祝光蘋果,,100克,47
紐西蘭特濃起司大亨堡,,163克,442.2
草豆,,100克,63
荊豆,,100克,396
烏芋,,100克,94
桃豆,,100克,316
翅豆,,100克,11
納豆山藥壽司卷,,114.8克,312.3
烤里肌排,,90克,122
扇貝果汁蒸,,421.5克,324.6
豇豆炒肉絲,,372克,379
脆李果凍,,115.1克,224.4
豇豆炒紫茄子,,535克,624
鬼芋粉,,100克,37
宮廷蛋糕,,100克,334
迷你黃瓜,,100克,12
迷你黃瓜[荷蘭乳黃瓜],,100克,12
高良薑,,100克,169
埔里鮮香菇,,45克,18
茶油,,100克,899
茴芹,,100克,68
益明,,100克,61
根芹,,100克,27
根芹[根洋芹、球根塘蒿],,100克,27
荔枝：玉荷苞,1份,,77
素炒小白菜,,95克,45.6
素炒三絲,,335克,168
桂花大頭菜,,100克,51
桂花大頭菜[佛手疙瘩],,100克,51
素炒山藥,,110克,75.5
素炒玉米筍,,105克,73
素炒豆腐干,,70克,112
氣泡果凍,,282.5克,353.1
素炒花椰,,53克,53.7
素炒南瓜,,361克,256
烏林春酒,,100克,343
素炒海帶芽,,55克,58
素炒高麗菜,,55克,55.7
桂花酒釀鴨,,60克,66.6
海附魚,,100克,89
烤芝麻吐司,,109克,344
純芝麻油,1個,,44.1
海芥菜,,100克,119
烤青椒,,50克,12.5
恩典酥,1個,,234
素炒絲瓜,,108克,68
原味萬用醬,,28.8克,70.6
烤乳酪培根馬鈴薯,,119.9克,306.9
桂林腐乳,,100克,204
桂花酸梅晶,,100克,397
原味辣椒醬,,80克,464.8
馬拉糕,1個,,190.8
馬來糕,,50克,160
素炒雙絲,,110克,116
桂花藕粉,,100克,344
荔枝罐頭,1盤,,56.5
茴香[小茴香],,100克,24
烤秋刀魚,,35克,146
桔柑子,,100克,43
桔柑子[寬皮桂],,100克,43
宮保牛肉,,30克,35.1
茶香牛肉,,71.8克,175.9
海苔片捲壽司,,177克,267.3
素食水餃,1份,,267.2
夏威夷火山豆,1份,,53.9
夏威夷果仁,,80克,600
夏威夷營炒飯,,258克,469.5
夏威夷鮮蝦沙拉,,190克,252.7
素食全雞,1塊,,90.8
茯苓夾餅,,100克,332
根洋芹,,100克,27
茴香籽,,100克,251
茴香籽[小茴香籽],,100克,251
宮保茄子,,167克,432.6
酒香紅燒肉,,670克,1340
酒泉酒,,100克,343
夏枯草,,100克,60
夏枯草[鐵色草],,100克,60
素食高湯,1個,,17
素食烏醋,1個,,4.7
烤香魚,,60克,37.8
酒泉啤酒,,100克,28
桂冠魚餃,1盤,,90.6
馬勃菌,,100克,32
素香菇瓜仔肉飯糰,,49克,152.4
宮保義大利麵,,177克,442.5
宮保蝦仁,,62.5克,90
茯苓豬腦湯,,60克,95
桂冠蝦餃,1份,,83.1
高品質鮮乳,1杯,,160.8
桂冠燕餃,1份,,98.1
海苔鮮蚵麵,,242克,534.8
海苔醬,1個,,22.2
宮保雞丁,,55克,123.3
茯苓鯽魚湯,,269.8克,426.3
海苔醬豬肉片,,108.8克,175.8
珧柱羹,,274克,178.1
料酒,,100克,63
珠茶,,100克,305
桂格100%喝的燕麥-無糖,,280克,123.2
桂格100%薏仁飲,,280克,95.2
海蚌,,100克,42
烈酒,,45毫升,95
秤砣子,,100克,70
核桃油,,100克,884
核桃乳,,100克,53
核桃乳,,100克,52
核桃乳,,100克,51
核桃乳,,100克,44
桂格芝麻糊,,40克,165
烤烤茄子,,63克,76.2
桃桃爽,,155.5克,80.9
胭脂麻,,100克,54
核桃粒,1份,,48
素家常豆腐,,71.8克,94
秦海啤酒,,100克,36
海凍菜,,100克,314
海凍菜[石花菜，凍菜],,100克,314
烘烤黑豆,1份,,83.5
核桃黑芝麻糊,,60克,287
真烏賊,1份,,28.4
馬茲瑞拉起士拌通心麵,,236克,608.9
柴梳餅,,34.3克,148.9
烤烤綠竹筍,,30克,68.4
家庭燒大蝦,,30克,29.4
翅根燒胡蘿蔔,,475克,725
核桃薄脆,,100克,480
珠蚶,,100克,71
桃脯,,100克,310
桂魚,,100克,117
茨梨,,100克,55
海梨,1粒,,62
海陸pizza,,507.5克,774.4
草魚[白魚完，草包魚],,100克,96
草魚[白鯇，草包魚],,100克,113
海帶[江白菜],,100克,12
草莓[洋莓，鳳陽草莓],,100克,30
海參丸,,74克,157.6
脆魚丸,,60克,110
純淨水,,100克,0
純淨水,,100克,0
純淨水,,100克,0
純淨水,,100克,0
草莓牛奶,,400克,163.2
草莓牛奶燕麥,,440克,339.7
家常牛肉炒飯,,295克,496.8
海陸什錦炒飯,,219克,423.1
高蛋白豆米粉,,100克,414
草莓奶昔,,200克,102
草莓可爾必思,,214.9克,122.5
高蛋白餅乾,,100克,448
草莓冰,,230.1克,227.8
草莓吐司,,68克,199.2
草莓冰砂,,199.7克,233.7
草梅李,1粒,,59.5
家常豆腐,,103克,103
柴魚昆布高湯,,11克,26.1
海帶芽湯,,352克,523
海帶味噌湯,,12.5克,27.8
草莓果醬,,100克,248.2
家常炒麵,,147.5克,197.4
烏梅洋菜凍,,27克,90.2
家常香菇麵筋,,58.8克,218.6
家常紅燒扁魚,,43克,58.3
家常宮保雞丁,,39克,97.5
家常料理開陽白菜,,110克,68.6
草莓起酥,,74克,195.4
凍頂烏龍茶,1缶,,0
烏魚蛋,,100克,66
臭都魚,,1兩,
料理荷包蛋,,55.5克,78
家常麻婆豆腐,,75克,79.9
家常彩椒雞丁,,100克,105.1
柴魚湯,,25克,7
海帶菜,,100克,89
海帶結燒肉,,94.3克,75.2
家常椒鹽排骨,,60克,196.9
茵陳蒿[茵陳],,100克,56
海帶滷肉,,120克,112.1
家常滷肉,,175克,279.8
家常蒜泥白肉,,35克,65.5
海帶滷蘿蔔,,116.2克,45.8
高梁醋,1個,,2.7
家常擔仔麵,,200克,246
海帶燒豆腐,,522克,458
草莓優酪乳,,289.9克,249.3
草莓醬,,100克,269
烤麻糬,,60.7克,84.1
高梁麵麵條,,100克,304
烏棗,,100克,228
起酥,,100克,499
烏菜,,100克,25
桃酥,,100克,481
海蛤,1盤,,15
茶湯,,100克,93
桃酥,,46.6克,230.7
酒棗,,100克,145
臭菜,,100克,13
凍菜,,100克,314
草菇[大黑頭細花草],,100克,23
草菇[大黑頭細花草、稻菇],,100克,14
烏菜[烏塌菜，塌棵菜],,100克,25
海棠,,100克,53
素菜包,1個,,226
馬提尼酒,,100克,243
烤筊白筍,,100克,22
烤酥油,1個,,44.2
海棠果,,100克,73
海棠果[楸子],,100克,73
益智茯神飲,,75克,191.3
高鈣高蛋白鮮乳,1杯,,148.8
高鈣高鐵奶粉,,100克,437
高鈣高纖脫脂奶粉,1份,,91.5
海棠脯,,100克,286
針量魚,,100克,180
起酥甜麵包90克,,40.1克,151.1
夏菠菜,,100克,10
草菇湯,,60克,21.3
高鈣飲料,1缶,,105.6
高湯與上湯,,350克,556.5
草菇銀杏湯,,121.5克,116.6
茶發酵飲料,1缶,,98.4
高鈣調味乳,1杯,,148.8
核棗糕,1個,,151.9
粉絲蟹煲,,167克,280.6
烤椒鹽杏鮑菇,,100克,42
草菇罐頭,1碟,,15.5
茶腸,,100克,329
真蛸,,100克,52
粉葛,,100克,145
桑葚,,100克,50
桑葚,,100克,49
桑葚,,100克,48
桑葚,,100克,239
真飽大燒包,,150克,294
珠落玉盆,,142克,119.3
珠圓玉潤,,254克,322.6
高粱米,,100克,351
紐奧良烤雞堡,,143克,421.8
桂圓紅棗茶,,215克,39.4
桂圓紅棗豬心湯,,55克,68.8
桂圓甜油飯,,140.7克,479.9
烏塌菜,,100克,25
根達菜,,100克,14
烏塌菜[塌菜、塌棵菜],,100克,8
茶碗蒸,,150克,174
海蜇瘦肉湯,,65克,106
海蜇頭,,100克,74
馬鈴薯[土豆，洋芋],,100克,76
馬鈴薯：白皮,1碗,,131.4
馬鈴薯：紅皮,1碗,,109.8
馬鈴薯片,,100克,612
馬鈴薯全粉,,100克,355
馬鈴薯沙拉,,100克,225
馬鈴薯泥三文魚捲,,40克,47.8
馬鈴薯咖哩飯,,350克,310.1
馬鈴薯粉,,100克,334
馬鈴薯甜甜圈50克,,45.9克,157.1
馬鈴薯菠菜湯,,259.9克,400.3
馬鈴薯煎餅,,90.8克,104
娘惹雞,,344克,440.3
海路雙拼鍋,,385克,474
海蜒,,100克,103
茼蒿[蓬蒿菜，艾菜],,100克,21
烙餅,,100克,255
特製三糧酒,,100克,339
粉蒸肉,,159.8克,382.6
特製汽水,,100克,42
臭腐乳,,100克,130
特製啤酒,,100克,30
庫爾勒梨,,100克,28
茼蒿湯,,70克,11
特製漢酒,,100克,364
草對蝦,1個,,29.4
特製檸檬汽水,,100克,50
海蝦,,100克,79
家樂氏玉米片,,50克,188
時蔬沙拉,,160克,86
草質紅菇,,100克,200
高樂高營養飲品,,100克,394
烤豬排,,35克,74.9
馬齒莧[長壽菜，瓜子菜],,100克,27
酒醋彩椒,,115克,67.6
馬蹄,,100克,59
草頭,,100克,32
茶磚,,100克,206
茶磚[磚茶],,100克,206
茶磚,,100克,244
烤鴨,,100克,309
烤鴨,,100克,530
烤鴨夾餅,,147.8克,273.4
紐澳良雙烤雞三明治,,82克,243.5
烏龍冷麵,,262克,678.7
烏龍茶茶包,1包,,0
馬蹄條,1個,,115.8
海鴨蛋,,100克,243
馬蹄軟糖,,100克,359
馬蹄黃梨,,100克,47
烏龍蒸蛋,,145.1克,265.5
倭錦蘋果,,100克,50
烏龍麵海苔壽司捲,,219.8克,296.7
海鮮什錦炒麵,,285克,381
海鮮沙拉,,180克,129.6
海鮮炒伊麵,,480克,628.8
海鮮味速食麵,,100克,451
海鮮炒飯,,280.1克,464.9
海鮮泡飯,,245克,424.6
海鮮炒絲瓜,,100克,81
海鮮泡菜鍋,,505克,495.8
海鮮炒意粉,,497.5克,611.9
時薑花粽,,93.4克,290.6
高鮮味精,1個,,19.8
海鮮披薩,,331克,2214
海鮮炒麵,,533.9克,630
海鮮拉麵,,220克,311.3
海鮮砂鍋豆腐,,110克,108.3
海鮮烏龍麵,,365克,313.5
海鮮焗飯,,333克,539.7
海鮮焗麵,,450克,636.1
海鮮堡,1個,,172.3
海鮮粥,,176.5克,375.9
海鮮湯,,160克,144.5
差薪菇,,100克,279
海鮮湯頭,,371.6克,50.3
海鮮義大利麵,,415克,554.9
海鮮煎餅,,274克,654.9
海鮮意麵,,434克,612.4
海鮮蒸飯,,182克,174.7
海鮮蔬菜披薩,,170克,278.7
海鮮濃湯,1碗,,818.4
海鮮鍋燒烏龍麵,,471.2克,819.9
海鮮鍋燒意麵,,434.5克,432.4
海鮮雙手捲-鮭魚/鮪魚,,227克,556.2
海鮮雞汁味米線,,100克,167
海鮮寶船煮,,379.8克,512.8
烤雞,,100克,240
真鯊,,100克,118
桃醬,,100克,273
烤雞心,,75克,100.5
海鯽魚,,100克,206
海鯽魚[九九魚],,100克,206
烏雞蛋,,100克,170
馬鞭筍,,100克,11
素雞絲卷,,100克,186
素雞塊,1個,,102.5
烤雞腿,,90克,100.8
海蟹,,100克,95
海蟹,,100克,81
高麗手捲-鮭魚/燻雞,,153克,367.2
宮爆肉丁,,100克,353
高麗菜：圓型,1碟,,24
高麗菜玉米粥,,365克,215
高麗菜芽,1碟,,33
高麗菜捲,,65克,71
高麗菜乾,1碟,,25.2
高麗雞肉片,,98克,60.9
高麗鰆,,1兩,41.6
凍麵,,380克,608
馬蘭,,100克,25
海蠣子,,100克,73
高鐵飲料,1缶,,88.8
高鐵鈣脫脂牛乳,1杯,,98.4
高鐵鈣脫脂奶粉,1份,,90
馬蘭頭,,100克,25
馬蘭頭[馬蘭，雞兒腸，路邊菊],,100克,25
馬蘭頭拌豆乾,,612克,336
海鰻,,100克,122
海鰻[鯽勾],,100克,122
烤鰻魚飯,,367.5克,665.2
高纖奶粉,1份,,150
高纖果汁,,355.1克,191.7
高纖胚芽冬粉,1束,,144.4
高纖珍珠丸,1個,,156.1
素纖筍香飯糰,,56克,151.8
高纖飲料,1缶,,100.8
脆蘿蔔,,100克,20
高纖調味乳,1杯,,156
高纖蘇打餅乾,,20克,67
烏鱧,,100克,85
烏鱧[黑魚，石斑魚，生魚],,100克,85
酒釀豬肝,,51克,116
海鱸,,1兩,37.5
梅,,100克,33
梅[青梅],,100克,33
梨：水梨,1粒,,
蛇,,100克,85
統一AB乳果,,100克,92
統一AB輕優酪乳,,250克,107.5
統一LP33益敏優多,,170克,110.5
統一布丁,,100克,190
統一肉燥麵,,85克,407
統一果汁牛奶,,250毫升,178
統一乳果,,100克,92
統一美研社大馬士革玫瑰茶,,500克,150
統一純喫茶-無糖綠茶,,450克,0
統一飲冰室茶集紅奶茶,,400克,156
統一陽光高纖燕麥穀奶,,300克,169.5
統一陽光無糖高纖豆漿,,450克,160.6
統一園之味柳橙汁,,280克,134.4
統一糙米漿,,450克,267.3
統一營養強化牛奶-鈣,,400克,276
情人糖,1個,,120
蚶子,,100克,71
密三刀,,100克,425
深川丼,,366克,582
甜小米粥,,150克,112
麻子籽,,100克,341
乾大紅菇,,100克,200
鹿子浮島,,250克,692.6
淮山茼蒿,,105克,71
連子魚,,100克,84
魚丸湯,,250克,84
莓大福,,43.8克,158.6
梅子醬,,30克,81
野山雞,,100克,126
淮山雞扎,,155克,238.7
深川醬汁,,63克,117.2
梭子蟹,,100克,95
魚丸蘿蔔湯,,100克,130
蛋片,,100克,391
麥片,,100克,351
麥片,1盤,,162.4
強化ADEF沙拉油,1小匙,,44.2
麥片,,100克,406
麥片牛奶,,310克,212
軟化白菊苣,,100克,13
乾木耳,,100克,205
清牛肉湯,,35克,41
軟五花,,100克,349
脫水花椰菜,,100克,286
通心粉,,100克,350
通心脆,,100克,500
魚片乾,,100克,303
透心涼涼拌豆腐,,82克,53
乾巴菌,,100克,26
脫水菜花,,100克,286
掐不齊,,100克,89
掐不齊[雞眼草，牛黃草],,100克,89
甜不辣炒小黃瓜,,140克,129.6
甜不辣炒芥菜干貝,,160.5克,220
甜不辣湯,,250克,70
強化鋅餅乾,,100克,444
乾元蘑,,100克,146
通心麵[通心粉],,100克,350
通心麵乳汁湯,,291.5克,489.7
甜瓜,,100克,26
甜瓜[香瓜],,100克,26
蛇瓜[蛇豆，大豆角],,100克,15
甜瓜：美濃瓜,1個,,85.8
蚵仔大腸麵線,,400克,428
甜玉米籽粒,,100克,119
蚵仔肉羹麵線,,478.3克,229.6
豉汁炒生蚵,,75.8克,116.9
蚵仔炒麵,,393.8克,407.5
梅汁南瓜絲,,70克,230.2
豉汁粉絲娃娃菜,,178克,237
荷包蛋,,50克,91
荷包蛋,,100克,199
荷包蛋,,100克,164
蛋包飯,,220.1克,281.7
乾冬菇,,100克,212
蚵仔煎,,157.2克,246.8
陳皮蒸黃鱔,,310克,364
蛋包豬肉泡菜丼,,465克,864.9
蚵仔豬腸麵線,,410.3克,213.4
粗皮龍蝦,1個,,27.3
蛇肉,1兩,,31.4
梗米,,100克,342
梗米,,100克,342
梗米,,100克,352
鹿肉,,100克,92
梗米,,100克,337
軟式牛奶冰淇淋,,173克,375
軟式牛奶霜淇淋,,173克,375
焗匈牙利牛腩飯,,380克,216.6
蛋吐司,,110克,272
混合油,1小匙,,44.2
混合油,,100克,900
排米粉,,100克,355
清血蛋,1粒,,117.2
魚肉粒,,100克,376
麥年魚排佐酪梨汁,,219.6克,483.1
陳年紹興酒,1杯,,108
麻竹筍沙拉,,103克,40.2
淡竹葉,,100克,32
雪米餅,,100克,463
乾竹蓀,,100克,155
參老銀耳茶,,44克,113.5
魚肉鬆,1份,,116.8
國光蘋果,,100克,54
敏豆,1碟,,34
蛇豆,,100克,15
魚卵手卷,,100克,206
蛋沙拉,,65克,142
魚卵卷,1盤,,35.7
敏豆炒豆乾,,112.5克,151.9
參杞茶,1缶,,69.6
雪利酒,,100克,116
魚卵飯,,120克,158.4
焗豆腐丸子,,85克,93.4
望果,,100克,32
麻花,,100克,524
蛇果,,100克,55
晚秈,,100克,342
晚秈,,100克,345
晚秈,,100克,343
涼拌三色蔬菜,,82.5克,44.9
涼拌干絲,,166.9克,133.5
涼拌小黃瓜,,100克,16
涼拌小黃瓜玉米筍,,95克,91.8
涼拌小黃瓜花枝,,130克,84.4
涼拌木耳西蘭花,,411克,112
涼拌牛肚,,79.8克,305.6
乾乳牛肝菌,,100克,178
涼拌牛蒡絲,,40克,122.4
涼拌水蘿蔔,,321克,116
涼拌皮蛋豆腐,,110克,89.5
涼拌生菜聖女果,,126克,48
健宜可樂,,350毫升,10
涼拌白蘆筍,,20克,40.8
崇明老白酒,,100克,298
麻油羊肉麵線,,392.5克,645.1
焗法式高麗菜鑲肉,,140克,187.6
涼拌竹筍,,110克,85.9
現炒豆芽菜,,55克,60.1
涼拌豆腐,,40克,40
涼拌豆腐皮,,268克,331
魚奇油,,100克,47
麥芽油,,100克,899
魚奇油[魚露，蝦油],,100克,47
現炒空心菜,,105克,68
動物性奶油,1份,,47.5
涼拌金瓜絲,,510克,116
麻油炒羊肉,,54克,141.1
現炒青江菜,,42.5克,30.7
涼拌花枝,,50克,84.3
麻油炒花枝,,85克,84.9
乾炒河粉,,399.9克,487.9
現炒油菜,,105克,58
清炒油菜,,124.1克,44.4
涼拌芹菜葉,,153克,40
野芹炒藕絲,,183.8克,260.9
掃帚苗,,100克,61
涼拌茄子,,40克,23.2
涼拌苦瓜,,60克,85.2
清炒苦瓜,,366克,117
涼拌胡瓜,,103.3克,19
乾炒苦瓜,,113.6克,93.7
清炒南瓜片,,115克,114.6
涼拌美生菜,,160克,104
清炒南瓜藤,,523克,204
清炒苦苣,,261克,118
清炒韭菜,,112克,117.9
涼拌秋葵,,55克,52
麻油紅鳳菜,,153克,170
涼拌香檸雞絲,,52.5克,54.6
曼陀珠,,37克,145
曼陀珠,,37克,145
曼陀珠,,37克,145
淡咖哩海鮮起士湯,,541.9克,433.5
涼拌海帶三絲,,78.5克,75.6
涼拌海帶干絲,,68克,38.4
涼拌海帶芽,,69克,84
涼拌海帶根,,250克,450
涼拌海蜇皮,,401克,194
蛋花烏龍麵,,274.8克,722.8
清炒高麗菜,,107克,29
雪花梨,,100克,41
現炒莧菜,,105克,62
涼拌彩椒雞絲,,80克,43.7
清炒荷蘭豆,,109.7克,77.6
蛋炒飯,,590克,834
清明菜,,100克,45
清明菜[鼠曲菜],,100克,45
涼拌筍片,,215克,115
清炒菜心,,105克,70.2
涼拌黃瓜,,100克,15
清炒絲瓜,,105克,61.2
涼拌筊白筍,,80克,22
清炒菜花,,105克,67.2
麥芽飲品,1個,,78.8
涼拌黃秋葵,,70克,20
清炒菠菜,,112.4克,24.2
啟明菜葉,,100克,32
清炒菜薹,,311克,168
涼拌腰肝,,119.8克,299.5
麥乳精,,100克,429
麻油辣腐乳,1個,,9.5
涼拌蒟蒻絲,,160克,204.8
麻油蒸鱈魚,,60克,157.6
麻油蝦仁蛋炒飯,,345克,616.2
麻油豬心湯,,133.3克,153.4
麻油豬心麵線,,92.5克,255.9
麻油瘦肉飯,,175克,483.9
麻油豬肝湯,,143.1克,82.6
涼拌鴨賞,,125克,130
蛋卷霜淇淋,1份,,180
麻油薑絲炒羊肉,,112.7克,258.3
清炒雞毛菜,,438克,201
甜味醬油膏210,,70克,286.3
麻油雞湯,,40克,125
麻油雞腰,,45克,130.6
堅果饅頭,1個,,228.8
乾松蘑,,100克,112
清炒蘆筍,,207克,99
涼拌蘆筍,,110克,65
涼拌蘆筍杏鮑菇,,90克,24.3
麻油麵線,,110克,285
麻油麵線,,105克,341
涼拌蘿蔔絲,,207克,61
荷柿,,100克,57
野苕子,,100克,52
甜胚子,,100克,130
梅香山藥,,50克,126.1
野苦瓜,1碟,,36
豉香平子魚,,35克,58.7
乾扁四季豆,,92.5克,123.6
野苦瓜嫩梢,1碟,,25.4
涼洲曲酒,,100克,315
魚香肉絲,1個,,124
魚香肉絲炒麵,,409.8克,476.1
清香油,1大匙,,44.6
魚香炒茄子,,140克,234.4
魚香茄子,,140克,48.3
魚香茄條,,514克,86
麥香魚,1份,,385
野韭菜,,100克,35
乾苔菜,,100克,148
野韭菜[山韭],,100克,35
麥香堡,1份,,590
曼哈頓酒,,100克,225
曼哈頓蛤蜊巧達湯,,283克,159.9
細香蔥,,100克,21
細香蔥[香蔥、四季蔥],,100克,21
細香蔥[香蔥，四季蔥],,100克,37
麻香糕,,100克,401
麥香雞,1份,,385
速食麵,,100克,472
麥胚麵包,,100克,246
晚桃,,100克,39
梧桐子,,100克,555
梧桐子[瓢兒果],,100克,555
焗起士三明治,,120克,371.9
培根千層捲,,128.3克,131.6
脫脂牛奶,,245克,85
野茭白,,100克,12
培根玉米蛋餅,,110克,237
脫脂奶粉,,35克,80
健脂奶粉,1份,,144.3
焗烤地瓜,,80克,223.3
培根吐司,,75克,222
乾狼肚,,100克,295
乾扇貝,,100克,264
焗烤里昂洋蔥湯,,325克,289.2
深海角魚,,1兩,28
培根冷壽麵,,415克,991.9
焗烤法式布丁,,85克,233
