品名,單位,重量,熱量
麥當勞 熱可可,,39克,172.8
麥當勞 豬肉滿福堡,,121.9克,414.5
麥當勞 豬肉鬆餅,,167克,607.9
麥當勞 薯條,,100克,147
麥當勞 薯餅,,55.4克,85.3
麥當勞 鬆餅,,132.5克,443.9
麥當勞 檸檬紅茶,,698克,335
麥當勞 蘋果派,,79.9克,241.3
麥當勞吉事漢堡,1個,,310
麥當勞麥香魚,1個,,330
麥當勞麥香雞,1個,,350
麥當勞聖代,1個,,300
麥當勞薯條,1包,,263
麥當勞薯條,1包,,605
麥當勞薯條,1包,,479
乾煎黑鮪魚血合,,55克,163.4
麥當勞蘋果派,1個,,251
荷葉粽,,114.8克,360.6
乾酪漢堡包,,100克,311
乾酪漢堡包,,100克,263
乾酪漢堡包,,100克,235
乾酪漢堡包,,100克,285
乾酪漢堡包,,100克,316
瓶裝蓴菜,,100克,20
乾煸雙豆,,90克,114.2
荷葉離褶傘,,100克,14
雪碧,,350毫升,95
蛋餃,1盤,,54.6
荸齊,1份,,79
野蒜[小蒜，野蔥],,100克,30
麻辣牛肉片,,30克,36.9
粘蓋牛肝菌,,100克,178
清蒸文蛤,,30克,22
乾銀耳,,100克,200
清蒸肉鯽魚,,60克,131.6
清蒸豆腐,,97克,65.1
清蒸芋頭,,93.5克,119.7
清蒸虱目魚,,19克,32
清蒸虱目魚肚,,30克,64
清蒸武昌魚,,532克,730
野蒜炒雞蛋,,240克,218
麻辣油爆小龍蝦,,500克,730
條滸苔,,100克,148
清蒸茄子,,130克,32.5
清蒸茄段,,50克,13
清蒸臭豆腐,,127.3克,151.5
清蒸桂魚,,532克,640
清蒸草蝦,,35克,73.6
清蒸海鱸,,40克,88.4
甜酸皎頭,,100克,97
野酸棗,,100克,326
甜辣黃瓜,,100克,99
現榨楊桃汁,,240克,106.1
甜蜜蜜富士蘋果,1粒,,59.8
清蒸鴉片魚頭,,777克,909
麻辣豬耳,,74.8克,267
甜蒜頭,,100克,114
清蒸鮮魚,,61.3克,66.2
假蜜環菌,,100克,157
麻辣醬,,100克,135
清蒸鯽魚,,75克,153.8
清蒸鯔魚,,574克,711
乾榛蘑,,100克,157
麥維麵包,,100克,270
清蒸鱸魚,,19克,12.4
甜醅,,100克,187
野蔥,,100克,33
麥蔥,,100克,33
陳醋,,100克,114
野蔥[沙蔥，麥蔥],,100克,33
麻醉瓜,,100克,17
野豌豆,,100克,52
甜豌豆炒花枝,,95克,79.9
乾魷魚,,100克,313
乾墨魚,,100克,287
焗熱帶水果,,222克,235.4
軟漿菜,,100克,20
乾髮菜,,100克,189
鹵豬雜,,100克,186
軟糖,1個,,101.7
野蕎,,100克,11
雪糕,,100克,147
雪糕,,100克,212
乾燒小魚苦瓜,,97.4克,102.7
清燉牛肉湯,,106克,83.9
清燉牛腩,,163.3克,375
乾燒基圍蝦,,456克,653
清燉黑木耳,,46克,108
紹興黃酒,,100克,85
郫縣辣醬,,100克,89
清燉豬腦湯,,60克,75
混糖糕點,,100克,453
清燉雞湯塊,,185克,289.3
清燉鯰魚湯,,537克,524
參薯,,100克,105
雪螺肉,,140克,155
參薑附仔茶,,48克,102.3
麥穗魚,,100克,84
焗鮮蚵,,272克,568.5
乾優酪乳,,100克,426
雪螺餃,1盤,,60.6
敗醬,,100克,54
野雞,,100克,124
敗醬[胭脂麻],,100克,54
荸薺[馬蹄，地栗],,100克,59
梅醬魚,,35克,43.8
魚鬆蛋吐司,,168克,410.3
麻醬涼粉,,564克,462
乾雞腿菇,,100克,257
野雞燉土豆,,1178克,1510
魚鬆蕃茄蛋吐司,,180克,463.3
雪鯪,,100克,95
蛇鯔,,100克,122
麻糬20克,,39.6克,154.4
蛇鯔[沙梭魚],,100克,122
麻糬淑淑 麻糬,,22克,77.4
乾麵,,110克,286.7
涼麵,,232克,477.9
涼麵,,100克,167
掛麵,,100克,346
掛麵,,100克,347
掛麵,,100克,347
掛麵,,100克,344
乾麵線,1碗(熟),,408.7
荷蘭乳黃瓜,,100克,12
參鬚紅棗茶,,246克,29.2
異鱗蛇鯖,,1兩,92
棗,,100克,264
棗,,100克,298
棗,,100克,122
菲力焗牛排,,99.9克,352.6
智力菇,,100克,26
菲力菠蘿,,140克,108.6
黍子,,100克,349
棗子：蜜棗,1份,,74.2
棉子油,,5克,45
筍子炒香菇,,105克,69.8
開口笑,,100克,512
黑大麥,,100克,297
童子雞,,100克,226
紫山藥桂圓甜湯,,303.8克,92
棗仁,,100克,367
景天三七,,100克,45
番木瓜,,100克,27
黑木耳炒鳳梨,,175克,178.7
黑牛肝菌,,100克,29
黑牛肝菌[銅色牛肝菌],,100克,29
硬五花,,100克,349
菜心炒雞肝,,146克,127
黃毛籽,,100克,234
普中紅蘑,,100克,214
黃元帥蘋果,,100克,55
鈣王餅乾,,100克,450
棒瓜,,100克,16
勝丼,,509.8克,790.2
筍瓜[生瓜],,100克,12
菜瓜[生瓜，白瓜],,100克,18
黃瓜[胡瓜],,100克,15
黑瓜子,,100克,532
菜用大豆,,100克,123
絲瓜木耳炒蛋,,487克,374
黃皮牛肝菌,,100克,24
黃皮牛肝菌[黃皮疣柄牛肝菌、黃癩頭],,100克,24
黃瓜片炒雞心,,78.3克,134.4
絲瓜米苔目,,157.5克,194.7
筒仔米糕140個,,102.2克,326
黑巧克力,1個,,27.3
黃皮果,,100克,31
絲瓜花,1碟,,31
絲瓜炒文蛤,,73克,65.1
黃瓜炒玉米,,45克,58.6
黃瓜拌西式香腸,,101.8克,301
黑加侖酒,,100克,51
黑白芝麻油,,8克,45
黃瓜炒雞蛋,,332克,330
黃皮疣柄牛肝菌,,100克,24
黃瓜胡蘿蔔燉雞湯,,721克,775
酥皮海鮮湯,,180克,280.8
黃瓜魚丸湯,,97.5克,79.3
越瓜脯炒豆乾,,72.5克,112.1
絲瓜蛋湯,,420克,322
絲瓜湯,,50克,10
筊白筍炒什錦,,66克,29.5
筊白筍炒蝦仁肉絲,,105克,128
絲瓜蛤蜊麵線,,225克,350.1
絲瓜蛤犡,,110克,99
絲瓜蛤蠣湯,,80克,67
黃瓜塞肉,,796克,735
酥皮椰塔,,56克,279.1
菜包粿35克,,72.6克,201.2
鈣奶餅乾,,100克,444
酥皮糕點,,100克,426
硬皮糕點,,100克,463
煮甘薯,,300克,171
酥皮雞茸鮮奶蘑菇湯,,150克,278.9
酥皮麵包,1個,,450
絲瓜麵線,,190克,231.6
黃瓜鑲肉,,141克,146.4
黑米,,100克,333
黃米,,100克,342
雲耳,,100克,205
港式叉燒,,237克,392
港式叉燒披薩,,105克,289.7
硬式牛奶冰淇淋,,133克,270
硬式牛奶霜淇淋,,133克,270
紫米豆皮壽司,,93.3克,201.4
紫米豆沙粽,,114.5克,419.2
粟米油,,100克,900
港式炒麵,,379.5克,337.7
粟米脆,,100克,553
港式魚蛋丸,,52克,117.5
湖州甜粽,,66.6克,263.7
菜肉飯,,140克,240.2
紫米粥,,50克,181
紫米飯,,60克,217
紫米飯糰,,232克,477.9
越式辣椒醬,,52克,46.8
黑米漿,1杯,,120
菜肉餛飩,1盤,,183
港式臘味油飯,,126克,400.8
港式蘿蔔糕,,247克,325.6
貽貝,,100克,80
番杏,,100克,10
菊芋,,100克,34
黃豆[大豆],,100克,359
黑豆[黑大豆],,100克,381
番杏[新西蘭菠菜、夏菠菜],,100克,10
貽貝,,100克,355
貽貝,,100克,80
鄉村肉醬千層麵,,174.9克,500.4
棺材板,1個,,393
黃豆芽炒牛肉,,148.8克,227.6
黑豆苗,,100克,25
黑豆粉,1個,,82.1
黑豆茶,1缶,,31.2
菱角菜,,100克,27
菱角湯,,25克,35.8
傘把菇,,100克,16
黑豆漿,1杯,,93.6
黃豆漿,,85克,276
黑豆蔭油,1個,,12.8
雲吞麵,1碗,,455
黃油,,100克,888
煮芥,,100克,26
湯泡,,100克,236
菜花[花椰菜],,100克,24
菊花[懷菊花],,100克,242
甯河二曲,,100克,314
棗泥三Q餅,,89.8克,389.8
黃金干貝封,,60克,87
黃金大蝦,,91克,138.5
菊花北杏蜂蜜茶,,233.3克,47.8
黃金西葫蘆,,100克,11
開花豆,,100克,446
發芽豆,,100克,128
植物油,,100克,900
黃金雨,,140克,201.6
植物性奶油,1份,,47.2
壺底油精,1個,,11.7
壺底油膏,1個,,12.4
開味炒酸菜,,77克,54
菊花枸杞水果茶,,481.2克,118.8
黃花苗葉,,100克,49
菊花茶,1缶,,69.6
萊姆酒香焗雞肉串,,50克,71.5
菜肴梨,,100克,16
黃姑魚[黃婆雞,,100克,137
黑芝麻奶昔,,312克,399.3
黃金甜油飯,,154.1克,332.9
黑芝麻起士涼拌義大利麵,,280克,778.4
黑芝麻湯圓,,100克,311
黑芝麻糊粉,,100克,408
黑芝麻糖,1個,,153.9
黃花菜,,100克,199
黃油渣,,100克,599
菊花酥,,34.8克,136.2
黃河蜜瓜,,100克,5
煮疙瘩,,100克,26
棉花糖,,100克,329
棉花糖冰淇淋,,80克,101.8
黃金鮪魚捲,,266克,481.5
華青雞,,100克,158
黃油麵包,,100克,329
菊苣,,100克,17
番茄[番茄],,100克,11
筍香大燒包,,130克,236
越南牛肉河粉湯,,642.5克,590
番茄牛肉蛋包飯,,272.5克,641
番茄木耳菜,,267克,93
椒香牛肚絲,,109克,353.1
紫背天葵[紅鳳菜、血皮菜],,100克,12
番茄牛腩蘑菇湯,,653克,912
番茄肉醬義大利麵,,307克,475.8
開胃豆皮,,63克,129.3
番茄豆腐,,362克,288
酥炸豆腐,,50克,124
棉籽油,,100克,899
菜籽油,,100克,882
菜籽油[青油],,100克,899
番茄炒蛋,,160克,148
番茄炒蛋料理,,80.5克,92
番茄炒菠菜,,99.6克,26.3
番茄炒雞蛋,,340克,309
黑珍珠丸子,,72克,118.5
開胃涼拌小黃瓜,,55克,52.1
番茄蛋花麵,,369克,856
黑洋酥,,100克,417
黑胡椒牛丁骨,,35克,130.1
黑胡椒牛肉薄片披薩,,57克,96.7
黑胡椒牛排,,60克,234
黑胡椒肉片,,50克,113.8
黑胡椒羊肉花枝燴飯,,375克,689.7
番茄菜花,,372克,163
黑胡椒炒牛肉,,62.5克,149.7
黑胡椒炒羊肉,,50克,117.6
黑胡椒香腸,,49克,154.8
黑胡椒洋蔥雞柳,,85克,91
黑胡椒烤小牛排,,75克,292.5
黑胡椒豬排吐司,,133克,339.2
黑胡椒雞柳飯糰,,127.5克,310.6
越南椰絲海鮮炒飯,,390克,748.8
湖洲粽,,47.8克,187.9
紫苜蓿籽,,100克,334
黃香蕉蘋果,,100克,49
開屏檸汁蝦盞,,75克,63.9
紫紅糯米,,100克,343
紫紅糯米[血糯米],,100克,343
酥香蘭花豆,,100克,416
筍茸,1碟,,25.3
黃桃,,100克,54
黃酒,,100克,66
番桃,,100克,41
景泰二曲,,100克,287
超級什錦比薩,,38.8克,85.3
飯豇豆,,100克,320
黃埔炒蛋,,34克,270.8
超級夏威夷披薩,,95克,193
黃耆烏雞湯,,105克,160
黑貢棗,,100克,305
無核黑棗,,100克,228
超級椒鹽蝦,,52.5克,71.1
黃耆豬肝湯,,190克,154.1
堤魚,,100克,191
酥梨,,100克,43
焦圈,,100克,530
黑魚,,100克,85
猴魚,,100克,114
湟魚,,100克,100
湟魚,,100克,124
黃莖瓜,,100克,18
結球甘藍,,100克,12
結球甘藍,,100克,19
結球甘藍,,100克,12
筍乾老鴨湯,,637克,1231
無蛋沙拉,1個,,47.5
黑麻油老薑米酒腰花,,147.5克,151.6
黑麻香酥,,100克,437
菜脯蛋,,148.5克,196
紫莧菜,,100克,31
黑甜菜,1碟,,26
結球菊苣,,100克,12
黃麻葉,,100克,34
椒麻豬肉煲,,270克,261.1
紫雪糕,,100克,228
椒麻鴨掌,,145克,265.4
殼菜,,100克,80
雲絲,,100克,140
湯菜,,100克,22
舒跑,,350毫升,90
菠菜[赤根菜],,100克,24
黑筍,,100克,213
絲絲入扣,,226克,339
萊菔子,,100克,352
黑椒三文魚,,40克,106.8
黑椒牛丁骨,,157.7克,490.7
黑椒牛柳,,42克,38.8
紫菜白魚湯,,87.3克,117.9
開陽白菜,,105克,63
開陽白菜料理,,200克,48
菠菜炒羊肉,,83.4克,104
菠菜炒金針菇,,137.2克,59.6
菠菜炒蝦仁,,152.5克,111.2
菠菜炒豬肝,,150克,119.8
菠菜炒雞蛋,,427克,322
黑棗茶,1缶,,110.4
菠菜粉絲炒肉片,,370克,518
萊陽梨,,100克,49
紫酥梨,,100克,47
黃絲菌,,100克,237
紫菜湯,,250克,6
黃傘菇,,100克,237
菠菜綠丸子,,132克,132
菠菜鳳梨汁,,280克,142.8
菠菜豬肝湯,,370克,73.6
紫菜膠洋粉,,100克,311
紫菜魷魚蛋湯,,140克,113.4
紫菜頭,,100克,33
紫菜薹,,100克,41
湯圓35克,,29.6克,117.8
蛤蜊冬瓜湯,,342克,31.9
焦溜肥腸,,83.3克,144.9
絲路春酒,,100克,315
蛤蜊高湯,,171克,24.8
蛤蜊清湯,,221克,28
紫葡萄,,100克,43
斑節對蝦,,100克,103
斑節對蝦[草蝦],,100克,103
蛤蜊燉蛋,,582克,340
蛤蜊鑲肉,,124.8克,125.8
菜粽,,77克,339.6
椪餅,,63.3克,278.5
富維它調味乳[光泉],1杯,,144
發酵乳果汁,1缶,,51
黃精花粉茶,,80克,165.6
萊爾富 三杯雞相撲大三角飯糰,,170克,357
萊爾富 咖哩雞肉蓋飯,,527克,653.5
萊爾富 招牌便當-升級版,,437.8克,814.2
萊爾富 相撲-火腿三明治,,134.6克,399.8
萊爾富 海味三鮮蓋飯,,457.8克,503.6
萊爾富 韓式烤肉三角飯糰,,114.9克,221.8
萊爾富 雞肉飯三角飯糰,,111.4克,350.9
萊爾富千層火腿三明治,,145克,382.8
萊爾富日式牛蒡,,176克,105.6
萊爾富田園鮮蔬,,104克,35.4
萊爾富哈姆洛特三明治,,117克,251.3
萊爾富茄燒雞排便當,,395克,748.5
萊爾富海鮮雙響,,113克,287.9
萊爾富黃金鮪魚沙拉,,246克,275
萊爾富義式烤雞三明治,,105克,249.7
萊爾富當季水果蘋果,,260克,119.6
萊爾富龍蝦沙拉三明治,,130克,344.4
萊爾富鮪魚手卷,,91克,202
萊爾富鮪魚飯糰,,49克,152.9
萊爾富雙色洋芋沙拉,,188克,215.8
萊爾富豐足排骨便當,,385克,857
萊爾富豐足雙響便當,,375克,648.8
超辣墨西哥披薩,,120克,259.2
斑駁纓唇牛舌魚,,1兩,
堿蓬,,100克,31
棉蓬,,100克,31
黃魴,,100克,81
菜蔥,,100克,33
黃魴[赤虹，老闆魚],,100克,81
堿蓬[棉蓬，豬毛菜],,100克,31
喜樂,,100克,53
黃箭口香糖,,21克,90
無憂果冰砂,,67克,151.4
煮醃芥菜頭,,100克,26
酢漿草,,100克,67
黑醋栗[黑加侖],,100克,63
酢漿草[酸酸草，酸溜溜],,100克,67
硬質乾酪,,100克,411
富鋅餅乾,,100克,444
酥糖,,100克,436
黑糖土司餅,,41.2克,150
無糖冰奶茶,,154克,72.7
喜頭魚,,100克,89
焦糖液,,120克,447.6
黑蕨麻糬,,70克,259.7
黑糖麻糬,,50克,104.2
猴頭菇枸杞燉牛腱,,175克,62.9
黑糖饅頭夾蛋,,150克,344.6
黃螺,,100克,106
黃薑,,100克,41
紫薯,,100克,57
黃螺[東風螺],,100克,106
紫薯甜湯,,510克,325
番薯飯,,117.5克,351.8
朝鮮薊,,100克,52
朝鮮醬,1個,,10.5
菜薹,,100克,25
黃醬,,100克,131
黃醬[大醬],,100克,131
黑鯛,,100克,106
寒鯛,1兩,,28.4
黃臘,1兩,,57
棕櫚油,,100克,900
棕櫚油[素清香],1小匙,,44.2
棕櫚油[寶素齋],1小匙,,44.2
黑鯖河魨,1兩,,27
黃顙魚,,100克,124
黃顙魚[戈牙魚，黃鰭魚],,100克,124
飯鏟頭蛇,,100克,88
黃蘑,,100克,146
黃蘑,,100克,21
黃蘑,,100克,166
紫蘇山藥麵線,,430克,657.9
黃鰭魚,,100克,124
蛤蠣絲瓜,,75克,51.8
蛤蠣蒸魚片,,121.5克,101.8
黃鶴樓酒,,100克,227
黃癩頭,,100克,24
黃鱔,,100克,89
黃鱔[鱔魚],,100克,89
紫纖果汁,,120克,106.8
菠蘿派,,50克,104.5
菠蘿甜麵包100克,,74克,333
黃鱔絲,,100克,69
菠蘿蜜,,100克,103
菠蘿蜜[木菠蘿],,100克,103
菠蘿蜜子,,100克,160
菠蘿蜜罐,1個,,63
菠蘿蝦球,,99.6克,78.7
菠蘿麵包,1份,,386
湖鹽,,100克,11
湖鹽[青鹽],,100克,11
椒鹽四季豆,,80克,22.4
椒鹽羊小排,,119克,178.5
椒鹽豆乾,,73.8克,143.6
善釀酒,,100克,99
椒鹽焗蝦,,50克,41.5
無鹽醬油,1個,,5.6
椒鹽雞翅,,53克,151.7
葛[葛署，粉葛],,100克,145
蜆子,,100克,47
葫子,,100克,27
楸子,,100克,73
瑞士三角牛奶巧克力,,50克,250
瑞士三角巧克力,,75克,450
椰子汁：,1杯,,
椰子汁飲料,,100克,51
煎土托魚,,40克,106
義大利肉醬麵,,248克,330
義大利茴香,,100克,10
聖女果,,135克,25
椰子油,,5克,44.2
煎小黃魚,,74克,127.2
萬川號 黑糖糕,,36.6克,136.5
瑞士糖,1個,,111.9
聖女蕃茄,1盤,,61.2
瑞士麵疙瘩,,263.3克,581.9
煎牛肉,,85克,245
煨牛肉,,100克,166
椿之味 牛奶薏仁,,132.1克,277.4
椿之味 薏仁湯,,62.5克,235.6
椿之味 薏仁湯,,40克,149.2
愛之味梅子番茄,,400克,160
楚天啤酒,,100克,16
新中華涼麵,,265克,477
煎火腿乳酪三明治,,80克,281.5
塘水蝦,,100克,96
蜂王漿,1個,,7
塘水蝦[草蝦],,100克,96
節瓜[毛瓜],,100克,12
椰奶西谷米布丁,,181克,242.6
塔皮米蘇,,59.1克,225.3
新加坡蝦醬肉絲炒麵,,416.9克,533.6
煎白帶魚,,40克,79.9
圓白菜,,100克,22
煎白鯧魚,,58克,114.2
粳米,,100克,334
粳米,,100克,343
粳米,,100克,347
粳米,,100克,345
粳米,,100克,346
碎米芽菜,,100克,62
義式香料燉雞,,121.9克,68
煎肉魚,,72克,112.1
鼠曲菜,,100克,45
粳米粥,,100克,46
粳米飯,,100克,117
義式雲吞湯,,396克,467.3
補血餅乾,,100克,452
溫州餛飩,1盤,,105.8
溫州餛飩麵,,500克,742
義式總匯,,149克,363.5
煎肉鯽,,77.5克,175.4
煎肉鯽魚,,58克,126.9
新西蘭菠菜,,100克,10
腦豆,,100克,360
煎里肌,,64克,140.1
煎赤宗魚,,75.5克,153.5
煎吳郭魚,,55克,98
煎豆腐,,85克,115
煎赤鼻,,74克,166.5
煎豆腐炒蒜苗,,100.3克,163.5
煎芋頭糕,,65克,101.8
葵花子仁,,100克,606
葵花子油,,100克,900
落花生,,100克,298
道明寺,,38克,99.7
椿芽拌豆腐,,93.8克,145.6
腰果炒雙鮮,,75.5克,97.2
廈門炒麵線,,502.5克,502.5
椰味柚子沙拉,,390克,379
葵花籽油,,100克,899
鼓油皇炒麵,,405.5克,644.7
塘虱魚,,100克,146
微波蛤肉,,50克,34.5
腰果蝦仁,,363克,972
煎金線魚,,74克,166.5
腰果雞丁,,348.5克,1017.6
義美 Choco Roll 巧克力卷,,156克,620
義美 Choco Roll 巧克力捲,,156克,620
義美牛奶小泡芙,,65克,352
義美巧克力泡芙,,65克,344
煎紅目鰱,,72克,65.6
萵苣炒羊肉丁,,95克,163.1
塔香炒蛤蜊,,70.3克,51.9
葡香活力捲,,234.8克,392.1
椰香紅豆糕,,98.2克,178.6
煎炸粉,,100克,331
義美健康取向全麥蘇打餅,,190克,1022
義美健康取向蘇打餅,,190克,959
萵苣菜,,100克,12
煎香腸,,25克,113
萵苣葉,,100克,16
塔香橙汁魚片,,160.5克,147.2
椰香雞柳,,132克,124
義美檸檬夾心酥,,180克,906
董酒,,100克,272
楊桃豆,,100克,11
楊桃烏梅汁,,52克,17.7
楊桃乾,1個,,55.4
幹海椒,,100克,32
鄔師傅木須肉,,265克,746
腸益菌果汁,,249.8克,172.3
鄔師傅紅燒排骨,,349克,916
達烏裡胡枝子,,100克,105
達烏裡胡枝子[牛枝子，豆豆苗],,100克,105
達烏裡胡枝子籽,,100克,345
達烏裡胡枝子籽[牛枝子籽，豆豆],,100克,345
感魚,,100克,114
感魚[猴魚],,100克,114
楊梅[樹梅，山楊梅],,100克,28
酪梨牛奶,,390克,203.2
滑蛋牛肉,,175克,195.6
滑蛋牛肉片,,93.3克,78.8
滑蛋牛肉飯,,506.8克,942.6
滑蛋牛肉粥,,307.5克,602.5
酪梨布丁果汁,,432.9克,432.9
新國民便當,,342克,735.3
新國民便當-排骨,,330克,723
煎蛋吐司,,130克,276
傳統年糕,1塊,,72
滑蛋炒牛肉,,90克,74
傳統油飯,,121.1克,393.7
葉甜菜,,100克,7
裙帶菜,,100克,119
運動飲料,1缶,,98
傳統飯糰,,85.1克,309.6
話梅蜜汁叉燒,,60克,112.8
滑蛋蝦仁,,113.4克,95
滑蛋豬肉粥,,277.5克,380.7
椰圈麵包,,100克,320
塌菜,,100克,8
慈菇,,100克,94
萵筍,,100克,14
慈菇[烏芋，白地果],,100克,94
萵筍[萵苣],,100克,14
葡萄：巨峰,1碗,,87.1
葡萄：美國加州,1,,碗
葡萄土司麵包,,30克,80
葡萄大福,,123.8克,212.9
葡萄果醬,,100克,234.8
萵筍炒雞蛋,,427克,291
葡萄籽C多果汁,,299.9克,170.9
葡萄籽油,1小匙,,44.2
葡萄酒,,100克,89.6
葡萄酒,,100克,88.3
葡萄酒,,100克,88.5
葡萄酒,,100克,88.7
葡萄酒,,100克,88.2
葡萄酒,,100克,88.6
葡萄酒,,100克,88.6
葡萄酒,,100克,72
葡萄酒,,100克,89.6
葡萄酒,,100克,88.3
葡萄酒,,100克,88.5
葡萄酒,,100克,88.7
葡萄酒,,100克,88.2
葡萄原汁,,216克,395
葡萄乾麵包,,100克,260
葡萄乾糯米粥,,50克,177.9
塌棵菜,,100克,25
萵筍葉,,100克,18
萵筍葉[萵苣菜],,100克,12
萵筍葉[萵苣葉],,100克,18
葡萄蜂王乳,,250克,232.5
葡萄優酪乳,,289.9克,289.9
葛署,,100克,145
落葵[木耳菜，軟漿菜],,100克,20
節節花,,100克,35
圓圓得意,,122克,154.9
過溝菜蕨,1碟,,30
新奧爾良雞翅,,100克,240
溫蒂漢堡溫蒂雞塊,1塊,,421
溫蒂漢堡薯條,1包,,290
溫蒂漢堡薯條,1包,,563
溫蒂漢堡蘋果派,1個,,219
裝飾鬆餅45克,,89.6克,547.5
新感覺花生夾心,,78克,320
新感覺雞蛋沙拉,,78克,175
煎圓鱈,,75.5克,166.1
煎餅,,100克,336
園榧,,100克,539
圓腿,,100克,139
碗粿,1個,,136.5
葉酸果汁,,232克,122.9
蜂蜜乳冰砂,,111.9克,175.7
蜂蜜柚子茶,,880克,1404
蜂蜜蛋糕,1個,,198
蜂蜜菊花果凍,,90克,270
蜂蜜檸檬茶,,670克,1950
椰蓉麵包,,74.9克,238.1
煎熱狗,,32.5克,89.3
煎熱狗,,32.5克,89.3
煎豬排,,80克,116
鉀質蔬菜汁,,345克,169
榆錢,,100克,36
過橋米線,,100克,92
照燒南瓜,,90.2克,58.3
過樹榕蛇,,100克,75
照燒嫩雞,,121克,326.8
遊龍戲鳳,,113.4克,61.2
瑞穗低脂鮮乳,,290克,136
瑞穗果汁牛奶,,290克,176.9
新鮮花枝丸,,50克,89
煎鮭魚,,52.5克,137.3
瑞穗零脂牛奶,,290克,98.9
煙燻三文魚芝士蓉貝果片,,41.2克,102.8
當歸牛暔,,40克,160.1
當歸羊肉麵線,,197.5克,558.4
當歸雞里肌,,65克,181
當歸麵線,,234克,135.7
新疆哈蜜瓜,1個,,61.2
路邊菊,,100克,25
圓糯,1碗,,286.4
葫蘆[長瓜，蒲瓜，瓠瓜],,100克,15
葫蘆瓜,1碟,,20
葫蘆瓜燴魚丸,,82.5克,92.7
粳糯米,,100克,343
葫蘆條,,100克,219
煎蘿蔔糕,,105克,183.2
煎鱸魚排附奶油馬鈴薯,,136克,219
維力炸醬麵,,90克,403
餃子,,100克,240
餃子,,100克,198
餃子,,100克,266
餃子,,100克,249
餃子,,100克,218
餃子,,100克,253
餃子,,100克,231
餃子,,100克,250
餃子,,100克,223
餃子,,100克,267
餃子,,100克,186
維大力,,350毫升,260
漢口小麥酒,,100克,237
榛子仁,,100克,610
漢口白酒,,100克,295
酸三色糖,,100克,397
蒸小卷,,67克,207.1
辣子雞飯糰,,47克,151.4
酸木瓜,,100克,35
彰化肉圓,,111.2克,421.6
滷牛肚,,80克,87
蒲公英葉,,100克,49
蒲公英葉[黃花苗葉，孛孛丁葉],,100克,49
蒸水蛋,,14克,94.1
銀牙湯,,30克,9.9
滷牛腩,,82克,203.2
維夫餅乾,,100克,528
腐皮丼,,375.2克,306.2
蒸瓜仔肉,,121克,116
蜜汁白果芡實,,105克,301.4
翠玉白菜芽,1碟,,25.2
維他命A果汁,,380克,167.2
維他命B1.C果汁,,250克,157.5
維他命B1B2果汁,,309.9克,226.2
維他命C果汁,,10克,4.9
維他命E果汁,,263克,194.6
酸瓜芥末香腸,,65克,145
蒙古韭,,100克,25
維生素C啤酒,,100克,77
維生素C飲料,1缶,,136.8
維生素麵包,,100克,279
綠皮蛇瓜,1碟,,32
蜜汁焗肋排,,62克,128.6
酸白菜,,100克,5
酸白菜[酸菜],,100克,5
滷白菜捲,,77.4克,56
蒜末蒸絲瓜,,50克,12
壽司醋,1個,,18.8
腐皮蔬菜捲,,55.5克,157.9
綿白糖,,100克,396
蜜汁雞,,92克,174.2
蜜瓜檸檬汁,,660克,303.6
蒸肉丸,,250克,360
銅色牛肝菌,,100克,29
綜合天婦羅壽司卷,,313克,625.9
蒸地瓜,,110克,149.6
蜜地瓜,,208.3克,413.7
綜合生魚片,,240克,237.6
銀耳肉絲羹,,525克,205.4
綜合串燒,,98.1克,60.8
綜合花草涼茶,,8克,26.2
福州拌麵,,177.6克,279
滷百頁,,35克,74.9
蒸肉粉,1份,,34.7
綜合海鮮沙拉,,399.1克,339.3
滷肉飯,,320克,521.2
漢式喜餅,,422.7克,1137
綜合握壽司,,120克,176.3
滷肉餅,,129.6克,402.9
綜合維他命飲料,1缶,,129.6
銀耳蓮子凍,,97克,288.1
綜合穀類粉,1份,,82.8
綜合優酪乳,,290.9克,253.1
綜合關東煮,,102.5克,116.1
餅折,,100克,122
綠豆仁,1碗,,68.4
綠豆凸,1個,,233.4
酸豆奶,,100克,67
綠豆沙牛奶,,280克,256.8
綠豆粉,1份,,68.8
鳳尾魚,,100克,106
綠豆球,1個,,68.6
